,Title,Published_date,Views,Likes,Comments,Month
94,Why I'm Starting Data Science Over Again.,2020-08-29,50172,2598,452,Aug
95,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,13971,588,76,Aug
96,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,11173,421,54,Aug
97,Don't Buy My Course..,2020-08-21,7256,356,148,Aug
98,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,27143,1065,166,Aug
99,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3098,128,40,Aug
100,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6002,529,110,Aug
101,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4658,180,39,Aug
102,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,9124,305,53,Aug
103,The Plagiarism Problem in Data Science,2020-08-07,12852,621,150,Aug
104,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,13848,587,88,Aug
105,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4642,183,56,Aug
106,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,9953,537,90,Jul
107,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2250,115,34,Jul
108,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5303,248,112,Jul
109,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8000,246,201,Jul
110,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1824,98,27,Jul
111,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,25250,520,89,Jul
112,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,220736,5389,384,Jul
113,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,27396,1031,120,Jul
114,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3458,132,50,Jul
115,The Best Computer for Data Science Beginners,2020-07-10,31860,768,154,Jul
116,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,5975,226,84,Jul
117,Critiquing MY OWN Data Science Resume,2020-07-06,11818,383,92,Jul
118,Where to Start Learning Data Science,2020-07-03,17634,748,133,Jul
119,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3848,195,37,Jul
120,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4383,173,54,Jun
121,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,14153,505,79,Jun
122,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2298,81,40,Jun
123,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2350,137,51,Jun
124,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4135,162,46,Jun
125,Why You're Struggling to Learn Data Science,2020-06-12,14838,996,159,Jun
126,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,9690,304,70,Jun
127,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,20816,641,151,Jun
128,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5590,154,53,Jun
129,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,54701,1810,259,May
130,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20781,487,81,May
131,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,48591,1708,174,May
132,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,10981,174,55,May
133,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,89536,3368,185,May
134,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3080,146,115,May
135,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4225,149,74,May
136,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1339080,47680,1992,May
137,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,4975,183,42,May
138,What You Need to Know for a Data Science Internship,2020-05-01,16049,947,58,May
139,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,7855,340,57,Apr
140,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14749,456,103,Apr
141,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,2935,82,24,Apr
142,5 Tips for Crushing the Work From Home Life,2020-04-20,5152,198,38,Apr
143,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,14619,594,122,Apr
144,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,21212,602,95,Apr
145,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,32481,718,140,Apr
146,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,55652,1581,204,Apr
147,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,58667,1445,258,Apr
148,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,84898,2673,609,Apr
149,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,123497,3638,161,Apr
150,When Data Science Goes Wrong,2020-03-30,1741,106,32,Mar
151,How to ULTRALEARN Data Science,2020-03-27,58750,3682,168,Mar
152,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4189,265,50,Mar
153,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,11202,421,44,Mar
154,The Secret Data Scientists Don't Want You to Know,2020-03-16,10062,1096,107,Mar
155,The 5 Stages of Learning Data Science,2020-03-13,16442,1242,78,Mar
156,Can You Learn Data Science Without a Computer?,2020-03-11,1245,96,14,Mar
157,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,320671,20088,624,Mar
158,The Data Science Projects that Got Me a Job,2020-03-06,36793,1299,41,Mar
159,How to Integrate Data Science into Your Business,2020-03-02,2867,111,18,Mar
160,The Problem with Data Science,2020-02-28,3532,148,21,Feb
161,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1038,44,16,Feb
162,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,92442,1897,89,Feb
163,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,280046,16075,503,Feb
164,Data Science Advice for College Students,2020-02-14,66123,1896,193,Feb
165,Avoid These Data Science Resume Mistakes!,2020-02-10,25028,1127,57,Feb
166,Data Science Explained with ... Cooking?,2020-02-07,4396,276,45,Feb
167,The 4 Types of Sports Analytics Projects,2020-02-03,21686,759,58,Feb
168,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,519,18,13,Jan
169,How I Learned Data Science,2020-01-27,90171,2577,210,Jan
170,What is Sports Analytics Really?,2020-01-20,16201,491,76,Jan
171,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,100877,2867,580,Jan
172,How To Learn Programming for Data Science [3 Steps],2020-01-13,27897,1891,98,Jan
173,Data Science Fundamentals: SQL Queries,2020-01-10,5418,195,32,Jan
174,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2587,133,14,Jan
175,The 9 Books That Changed My Perspective in 2019,2020-01-03,3183,177,23,Jan
176,The Data Science Interview: What to Expect,2019-12-30,7175,342,32,Dec
177,5 Data Science Resolutions for 2020,2019-12-27,468,25,12,Dec
178,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,13412,482,90,Dec
179,Collision Course: Sports Betting + Data Science,2019-12-20,12566,400,26,Dec
180,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,97770,2864,215,Dec
181,5 Sports Analytics Books to Get You Started,2019-12-13,8554,324,55,Dec
182,Math Needed for Mastering Data Science,2019-12-09,52218,2693,217,Dec
183,The 5 Stages of Data Science Adoption,2019-12-06,1140,62,17,Dec
184,How YOU Can Land a Sports Analytics Job,2019-12-02,57665,2617,218,Dec
185,Data Science Fundamentals: Linear Regression,2019-11-29,5442,157,41,Nov
186,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,889,45,12,Nov
187,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,4990,238,24,Nov
188,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,42924,1655,80,Nov
189,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5766,134,31,Nov
190,Why Selling Is An Important Data Science Skill,2019-11-04,1514,72,13,Nov
191,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2511,69,18,Oct
192,Why is Balance Important in Data Science?,2019-10-16,654,32,13,Oct
193,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,10711,543,56,Sep
194,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,2876,96,29,Sep
195,6 Habits of Successful Data Scientists,2019-09-13,1788,86,17,Sep
196,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3280,81,9,Sep
197,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,511,24,29,Aug
198,Is Data Science Right For You?,2019-08-18,46696,1098,113,Aug
199,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,12528,347,53,Aug
200,How To Get Data Science Experience (Without a Job),2019-08-08,27323,1306,71,Aug
201,Take Your Data Science Projects From Good to Great,2019-08-05,1502,104,11,Aug
202,The Projects You Should Do To Get A Data Science Job,2019-07-30,139933,5431,251,Jul
203,What Does a Data Scientist Actually Do?,2019-07-19,30902,1059,73,Jul
204,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,10850,313,41,Jul
205,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,15406,476,61,Jul
206,Data Science: Pros and Cons,2019-06-30,4517,196,18,Jun
207,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,21853,1067,89,Jun
208,My Top 5 Data Science Internship Tips,2019-06-15,10045,432,19,Jun
209,Golf STATS: Strokes Gained Explained,2019-06-07,5715,123,28,Jun
210,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,573,44,5,May
211,What I Learned From My Three Degrees,2019-05-17,1161,58,12,May
212,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,24678,1036,67,May
213,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1146,40,2,May
214,Should You Learn R for Data Science?,2019-04-25,17406,493,69,Apr
215,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,44175,818,337,Apr
216,Work From Home Data Scientist: Day in the Life,2019-04-12,27507,749,103,Apr
217,Where to Look for Data Science Jobs,2019-03-29,2885,117,9,Mar
218,Data Science: Startup vs. Large Corporation,2019-03-21,1869,70,4,Mar
219,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5408,153,27,Mar
220,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,3903,170,14,Mar
221,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,725,28,12,Mar
222,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1304,33,8,Mar
223,Where YOU Should Start With Data Science Projects,2019-02-19,12074,272,17,Feb
224,Watch This Before Applying to Data Science Jobs,2019-02-04,1380,61,13,Feb
225,My Top 5 Data Science Resources for 2019,2019-01-05,3564,117,17,Jan
226,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,778,36,6,Dec
227,The Best Way to Predict NBA Minutes Played,2018-12-11,3487,95,13,Dec
228,Demystifying Data Science Roles,2018-11-30,1071,51,5,Nov
229,How to Simulate NBA Games in Python,2018-11-19,15277,347,54,Nov
230,Should You Get A Masters in Data Science?,2018-11-14,19586,292,141,Nov
231,How I Became A Data Scientist From a Business Background,2018-11-12,6004,186,23,Nov
232,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,7625,175,17,Jul
233,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,17615,266,41,Nov
